# ich head tail
0 0 862
1 866 1728
2 1732 2594
3 2598 3460
4 3464 4326
5 4330 5192
6 5196 6058
7 6062 6924
8 6928 7790
9 7794 8656
10 8660 9525
11 9526 10391
12 10392 11257
13 11258 12123
14 12124 12989
15 12990 13855
16 13856 14721
17 14722 15587
18 15588 16453
19 16454 17319
20 17320 18185
21 18186 19051
22 19052 19917
23 19918 20783
24 20784 21649
25 21650 22515
26 22516 23381
27 23382 24247
28 24248 25113
29 25114 25979
